#sjh_ID, date, SOL_event, duration, basepoint_X, std_X, basepoint_Y, std_Y, basepoint_X_longitude, basepoint_Y_latitude, max_height, upper_H, lower_H, avg_width, std_width, velocity, sigma, flag
sjh_2011-01-20T09_1,2011-01-20T09:15:44.000000,SOL2011-01-20T09:00:09L289C165,43.6,-226.57712500000002,7.456468306737113,-956.964375,9.576813796058403,-109.0,-75.0,173.81138876955092,46.78503159773529,-36.86266215059402,52.28251189079931,14.552284486067055,0.13927194612944785,0.41766147297317513,001
sjh_2011-01-20T23_1,2011-01-20T23:49:20.000000,SOL2011-01-20T22:00:09L353C074,10.8,-143.625,1.125,386.404,2.8559999999999945,-8.0,18.0,97.73191652679279,16.54802783001337,-14.151831134222832,83.20449987487245,10.121326695268365,nan,0.3370461716457721,010
sjh_2011-01-20T23_2,2011-01-20T23:54:32.000000,SOL2011-01-20T22:00:09L353C074,5.6,-142.5,0.0,389.26,0.0,-8.0,18.0,75.81401852559989,49.6935222981148,-30.01784271594722,40.38400970681343,0.0,nan,0.6351121573326256,110
sjh_2011-01-21T04_1,2011-01-21T04:14:32.000000,SOL2011-01-20T22:00:09L353C074,9.2,-100.466,0.0,387.028,0.0,-6.0,18.0,84.05752070606174,30.62288176396804,-22.445714023603273,79.4050196764033,0.0,nan,0.4627520888012237,010
sjh_2011-01-21T06_1,2011-01-21T06:48:56.000000,SOL2011-01-20T22:00:09L353C074,5.6,-11.3714,0.0,475.01,0.0,-0.0,23.0,129.8946272599833,38.593653838732735,-29.75345375531411,73.4697871552654,0.0,nan,0.40564902881288695,110
sjh_2011-01-21T11_1,2011-01-21T11:50:32.000000,SOL2011-01-20T22:00:09L353C074,5.6,-26.5453,0.0,371.773,0.0,-1.0,17.0,23.42600581085046,8.719189992718503,-6.354162428609442,22.865005598074973,0.0,nan,0.46891462455034744,110
sjh_2011-01-24T22_1,2011-01-24T22:15:08.000000,SOL2011-01-24T22:15:09L358C011,57.6,146.37491555555556,104.44360080565632,974.3873333333335,12.755177571828979,57.0,79.0,173.1174711922514,61.264673867704474,-45.25082493242803,60.792181826817746,31.261629021150384,0.1109727379437509,0.4308007594646712,000
sjh_2011-01-24T22_2,2011-01-24T22:51:32.000000,SOL2011-01-24T22:15:09L358C011,26.4,8.437046666666667,11.597058223260282,982.837,8.185189714763267,5.0,84.0,92.06302271383935,19.591910461856553,-16.15414963366815,22.188995772290763,2.3112426817254255,nan,0.4514196496124934,010
sjh_2011-01-24T23_1,2011-01-24T23:27:56.000000,SOL2011-01-24T22:15:09L358C011,10.8,210.44,1.0859999999999985,966.5519999999999,0.9309999999999832,65.0,76.0,68.36303259072119,34.618915427635876,-22.981251463732473,21.39693401683472,1.8003053016704342,nan,0.5716372800545004,010
sjh_2011-01-26T02_1,2011-01-26T02:02:44.000000,SOL2011-01-26T01:52:21L007C038,62.6,605.3617777777778,22.435325650895464,780.9248888888889,18.511319836758418,82.0,51.0,193.04841602561768,54.47672079527927,-42.48717845334662,72.20724648376635,33.69126703546245,0.15468623078975777,0.40685666629586476,000
sjh_2011-02-13T05_1,2011-02-13T05:08:20.000000,SOL2011-02-13T04:57:46L131C056,31.6,852.5908333333333,1.3278869701731133,490.8205,1.2138280699231527,85.0,29.0,282.77087051179797,128.0357051117572,-88.13093543132528,42.276329507465185,18.191007220865,0.18126337853320382,0.47257942418953885,000
sjh_2011-02-13T05_2,2011-02-13T05:39:32.000000,SOL2011-02-13T04:57:46L131C056,5.6,860.71,0.0,490.906,0.0,86.0,29.0,293.0084371635056,95.94623445962759,-72.27848965901646,88.95972361130622,0.0,nan,0.43250470142608466,110
sjh_2011-02-14T05_1,2011-02-14T05:31:20.000000,SOL2011-02-14T05:31:16L307C065,47.4,-847.6046666666666,15.561454180834849,466.5583333333333,11.379502801089338,-80.0,27.0,257.19211291367395,63.10360776117224,-50.67114283755148,33.18622116922302,9.984916711201782,0.11711844850349451,0.4149497432241027,000
sjh_2011-03-20T00_1,2011-03-20T00:52:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-876.124,0.0,-409.203,0.0,-93.0,-24.0,62.502024327216716,32.741577681180374,-21.48611393928753,52.90468776961076,0.0,nan,0.5693578411249813,011
sjh_2011-03-20T01_1,2011-03-20T01:05:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-904.16,0.0,-341.926,0.0,-92.0,-20.0,170.02207813398817,67.77115865302238,-48.4563538787933,155.6970693943852,0.0,nan,0.4887755181864979,011
sjh_2011-03-20T01_2,2011-03-20T01:18:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-838.194,0.0,-494.809,0.0,-93.0,-30.0,117.6785899176227,37.3632330388459,-28.359138811270466,38.2987540397856,0.0,nan,0.42390092296947096,011
sjh_2011-03-20T01_3,2011-03-20T01:31:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-831.891,0.0,-513.617,0.0,-94.0,-31.0,115.25516296027698,60.43010019834071,-39.64408238258084,34.227791588123154,0.0,nan,0.5696219522440503,011
sjh_2011-03-20T01_4,2011-03-20T01:57:08.000000,SOL2011-03-20T00:00:04L223C126,14.0,-818.162,0.0,-530.445,0.0,-94.0,-32.0,124.97888700096509,38.743530987760415,-29.575200762495143,54.86050325142853,0.0,nan,0.417283916213357,011
